ID,표본대상 선정항목,,,,,스포츠 활동 참여,,,,,,,,,,,,,,,스포츠 활동 중 부상 경험,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 스포츠 안전 인식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,인구통계 질문,,,,,
,체육인 구분,"소속팀
유형","참여스포츠
및 종목",성별,연령,"스포츠 
활동 빈도","1년간
스포츠 활동
참여 빈도","스포츠 
활동 평균 
소요시간",스포츠 활동 주 시간대,,,,,,,,"스포츠 
활동 장소
(시설)","스포츠 
활동 장소
(시설)_기타","장소(시설) 
운영 주체","스포츠 활동
시작 시기","스포츠 활동
중 부상 당한 경험","1년 동안
부상입은 횟수",부상 부위,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부상 종류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"가장 심각한 
부상",가장 심각한 부상과 동일한 부상 경험,동일한 부상 경험 횟수,부상을 당한 시간,,,,,,,,부상을 당한 시기(월),부상을 당한 장소(또는 시설),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,장소(시설) 운영 주체,해당 장소 안전 관련 안내 문구 및 책자 비치 여부,안내 문구 및 책자 확인 여부,부상 당시 해당 장소 환경적 요인,,,,,,,,부상 당시 함께한 사람 유무,함께한 사람 중 해당 종목의 지도자 또는 숙련자 유무,해당 종목 지도자 또는 숙련자 안전사고 관련 사전교육 실시 여부,해당 종목 지도자 또는 숙련자 안전사고 관련 사전교육 자세한 정도,부상의 직접적인 이유,,,,,,,,,,,,부상 당시 응급 대처,,,,,,,,,,,,부상 당시 응급 대처 동원된 인원 수,부상 당시 응급 대처 도와준 사람,,,,,,,,부상 치료 방법,병원에서의 부상 치료 방법,발생한 부담금 처리 방법,,,,,,,치료 시 개인 부담금(원),치료되기까지 총 소요 기간,부상 관련 후유증 발생 여부,후유증 형태,발생한 후유증 심각 수준,보호장구 또는 안전용품 착용 여부,착용한 보호장구 또는 안전용품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,착용 보호장구 또는 안전용품 상태,부상 발생 전 환경적 위험 요소 사전 확인 여부,부상 발생 전 준비운동 실시 여부,부상 발생 전 실시한 준비운동,,,부상 발생 전 안전매뉴얼 확인 여부,확인한 안전 매뉴얼 부상 당시 도움 정도,부상 발생 신체 상태(컨디션) 정도,"부상 발생 후 스포츠 참여 주기, 횟수 변화 여부",부상 전 대비 부상 후 스포츠 참여 비율,"부상 발생 후 참여 주기, 횟수 변화 또는 미참여 이유","부상 발생 후 참여 주기, 횟수 변화 또는 미참여 이유_기타",참여 중인 스포츠 종목 안전 수칙 인지 정도,스포츠 안전 수칙 인지 경로,,,,,,,스포츠 활동 시 안전 중요성,스포츠 활동 시 안전 중요성이 높아진 계기,,,,,,,스포츠 활동 시 우선 순위,안전한 스포츠 활동을 위한 개선 필요 사항,스포츠 안전사고 예방 방법 인지 정도,부상 발생 시 응급처리요령 인지 정도,,,,,,응급처리요령 습득 방법,,,,,,,,,운동 시작 전 준비운동 실시 여부,준비운동 미실시 이유,준비운동 미실시 이유_기타,운동 시작 전 주변 시설물 결함 및 안전 확인 여부,운동 시작 전 운동수준 파악 및 적절한 운동 실시 여부,정해진 시간에 수분 섭취 여부,해당 스포츠에 맞는 보호장구 착용 여부,착용한 보호장구 또는 안전용품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보호장구 착용 이유,,,,,,,스포츠 보호장구 구입에 대한 부담감,스포츠 보호장구 구입을 위한 연간 지출 의향,통증 및 부상 내용 지도자에게 전달 여부,"운동 전 날씨, 재난 징후 등 환경 요인 확인 여부",마무리 운동 실시 여부,마무리 운동 미실시 이유,마무리 운동 미실시 이유_기타,보험 또는 공제 가입 여부,보험 또는 공제 가입 유형,보험 또는 공제 미가입 이유,보험 또는 공제 미가입 이유_기타,보험 또는 공제 가입 필요 정도,보험 또는 공제 연간 지출액,보험 또는 공제 가입 시 연간 지출 가능 금액 ,스포츠 활동 중 부상 대비 안전교육 참여 여부,안전 교육 받은 기관 유형,,,,,,,,,,안전 교육을 받지 않은 이유,안전 교육을 받지 않은 이유_기타,스포츠 활동 중 부상 대비 안전 교육 필요 정도,스포츠안전재단 인지 여부,스포츠안전재단 스포츠안전교육 실시 인지 여부,스포츠 안전교육 참여 의향,안전사고 예방 및 발생 시 올바른 대처를 위한 교육 내용,스포츠 안전공제 서비스 인지 여부,스포츠 안전공제 서비스 가입 의향,스포츠 안전공제 서비스 보장 필요 내용,스포츠 동호회 가입 여부,거주지역,최종학력,직업,직업_기타,월평균 가구소득
